fuel_flow,t_source,eta_sys,t_sink,cop_hp,status,is_valid
1e-10,-30.0,1.839308517312285,10.058598964705052,4.847695057707616,valid,True
1e-10,-28.585858585858585,1.8958102106672554,10.058599165446008,5.036034035557518,valid,True
1e-10,-27.171717171717173,1.95666308432649,10.05859938150839,5.238876947754966,valid,True
1e-10,-25.757575757575758,2.022382397556143,10.058599614690308,5.457941325187144,valid,True
1e-10,-24.343434343434343,2.093568147492545,10.058599867082997,5.695227158308485,valid,True
1e-10,-22.929292929292927,2.170923232432709,10.058600141133109,5.953077441442363,valid,True
1e-10,-21.515151515151516,2.255276496194229,10.058600439721609,6.234254987314097,valid,True
1e-10,-20.1010101010101,2.34761225560954,10.058600766264622,6.5420408520318,valid,True
1e-10,-18.686868686868685,2.4491085437322324,10.058601124843854,6.880361812440775,valid,True
1e-10,-17.272727272727273,2.561187225450894,10.058601520377028,7.253957418169647,valid,True
1e-10,-15.858585858585858,2.6855805201359186,10.05860195884362,7.668601733786396,valid,True
1e-10,-14.444444444444445,2.824420559589955,10.058602447587914,8.131401865299852,valid,True
1e-10,-13.030303030303031,2.9803618572936696,10.058602995732222,8.651206190978899,valid,True
1e-10,-11.616161616161616,3.1567517196932755,10.058603614750016,9.239172398977583,valid,True
1e-10,-10.2020202020202,3.3578720231193886,10.058604319276164,9.909573410397963,valid,True
1e-10,-8.787878787878789,3.5892898405471123,10.058605128277318,10.68096613515704,valid,True
1e-10,-7.373737373737374,3.8583787285695297,10.058606066784233,11.577929095231765,valid,True
1e-10,-5.9595959595959584,4.17511613939021,10.05860716852847,12.633720464634033,valid,True
1e-10,-4.545454545454547,4.553344121176563,10.058608480087305,13.894480403921875,valid,True
1e-10,-3.1313131313131315,5.012841000965229,10.058610067650337,15.426136669884094,valid,True
1e-10,-1.7171717171717162,5.582885775475374,10.058612028572766,17.326285918251248,valid,True
1e-10,-0.30303030303030454,6.308741254578294,10.05861451219903,19.745804181927642,valid,True
1e-10,1.1111111111111107,7.264285055534093,10.058617759989005,22.93095018511364,valid,True
1e-10,2.525252525252526,8.57886672004046,10.058622189678323,27.31288906680153,valid,True
1.2618568830660183e-10,-30.0,1.8393084695146757,10.05860033021126,4.847694898382252,valid,True
1.2618568830660183e-10,-28.585858585858585,1.8958101571278818,10.058600583517592,5.036033857092939,valid,True
1.2618568830660183e-10,-27.171717171717173,1.9566630241140406,10.05860085615737,5.2388767470468025,valid,True
1.2618568830660183e-10,-25.757575757575758,2.0223823295449788,10.058601150399543,5.457941098483262,valid,True
1.2618568830660183e-10,-24.343434343434343,2.09356807031233,10.058601468882955,5.6952269010411,valid,True
1.2618568830660183e-10,-22.929292929292927,2.170923144402155,10.058601814694931,5.953077148007182,valid,True
1.2618568830660183e-10,-21.515151515151516,2.2552763952329307,10.058602191470825,6.234254650776436,valid,True
1.2618568830660183e-10,-20.1010101010101,2.3476121391195166,10.058602603521312,6.5420404637317215,valid,True
1.2618568830660183e-10,-18.686868686868685,2.449108408436422,10.058603055996905,6.880361361454739,valid,True
1.2618568830660183e-10,-17.272727272727273,2.5611870671698203,10.058603555103069,7.253956890566067,valid,True
1.2618568830660183e-10,-15.858585858585858,2.6855803334741033,10.05860410838504,7.668601111580345,valid,True
1.2618568830660183e-10,-14.444444444444445,2.824420337488061,10.058604725110243,8.131401124960204,valid,True
1.2618568830660183e-10,-13.030303030303031,2.980361590376344,10.058605416789728,8.65120530125448,valid,True
1.2618568830660183e-10,-11.616161616161616,3.156751395299116,10.058606197901355,9.23917131766372,valid,True
1.2618568830660183e-10,-10.2020202020202,3.3578716238238013,10.058607086912222,9.909572079412671,valid,True
1.2618568830660183e-10,-8.787878787878789,3.5892893418507716,10.058608107755491,10.680964472835905,valid,True
1.2618568830660183e-10,-7.373737373737374,3.858378095168821,10.058609292016358,11.577926983896068,valid,True
1.2618568830660183e-10,-5.9595959595959584,4.17511531894411,10.058610682259163,12.6337177298137,valid,True
1.2618568830660183e-10,-4.545454545454547,4.553343033452115,10.058612337257646,13.894476778173715,valid,True
1.2618568830660183e-10,-3.1313131313131315,5.012839517999712,10.058614340533431,15.426131726665707,valid,True
1.2618568830660183e-10,-1.7171717171717162,5.582883683160574,10.05861681493453,17.32627894386858,valid,True
1.2618568830660183e-10,-0.30303030303030454,6.308738172833556,10.058619948911634,19.745793909445187,valid,True
1.2618568830660183e-10,1.1111111111111107,7.264280257145962,10.058624047151298,22.93093419048654,valid,True
1.2618568830660183e-10,2.525252525252526,8.578858670127266,10.05862963677325,27.312862233757553,valid,True
1.592282793341094e-10,-30.0,1.8393084092009448,10.058602053284542,4.847694697336483,valid,True
1.592282793341094e-10,-28.585858585858585,1.8958100895688645,10.058602372920841,5.036033631896215,valid,True
1.592282793341094e-10,-27.171717171717173,1.9566629481345539,10.058602716953176,5.238876493781846,valid,True
