fuel,t_cold_k,t_hot_k,multiplier,q_h_max_kj_per_mol,|delta_h|
methane,298.0,333.0,8.740773324351636,7785.406800000003,890.7
hydrogen,298.0,333.0,8.993489264417986,2174.859534857144,241.826
ammonia,298.0,333.0,9.804479852705166,3106.0494128571436,316.799
syngas,298.0,333.0,8.144740451127822,6963.753085714288,855.0
carbon,298.0,333.0,9.535901397712836,3752.3772000000013,393.5
