status,is_valid,status_msg,fuel,fuel_flow_kg_s,t_source_c,t_source_k,t_sink_c,t_sink_k,input_lhv_w,hp_useful_heat_w,waste_heat_recovered_w,total_useful_heat_out_w,layer4_hp_only_multiplier,layer4_total_multiplier,layer2_reversible_multiplier,layer4_hp_only_fraction_of_layer2,layer4_total_fraction_of_layer2
valid,True,Evaluated within envelope,methane,0.0005,5.0,278.15,41.085730697408685,314.23573069740866,27760.0,47690.721507743794,10687.6,58378.32150774379,1.7179654721809725,2.1029654721809723,8.047226961451837,0.21348540067410082,0.26132796828704913
valid,True,Evaluated within envelope,methane,0.0005,7.0,280.15,42.13063484528422,315.2806348452842,27760.0,49133.279739454454,10687.6,59820.87973945445,1.769930826349224,2.154930826349224,8.28859623710274,0.21353806793318955,0.2599874290779153
valid,True,Evaluated within envelope,methane,0.0005,9.0,282.15,43.141637091956014,316.291637091956,27760.0,50708.13269282368,10687.6,61395.73269282368,1.8266618405195851,2.211661840519585,8.550990019679054,0.21361992427961524,0.2586439506337531
valid,True,Evaluated within envelope,methane,0.0005,11.0,284.15,44.17739805461115,317.32739805461114,27760.0,52335.72196073381,10687.6,63023.32196073381,1.8852925778362324,2.270292577836232,8.823105533740843,0.2136767570813472,0.25731218663930766
valid,True,Evaluated within envelope,methane,0.0005,13.0,286.15,45.27291494045086,318.4229149404508,27760.0,53955.36375812491,10687.6,64642.96375812491,1.9436370229872086,2.3286370229872086,9.096312864786967,0.21367306202838354,0.2559979035023819
valid,True,Evaluated within envelope,methane,0.0005,15.0,288.15,46.38906813050025,319.53906813050025,27760.0,55628.44674127715,10687.6,66316.04674127715,2.003906582899033,2.388906582899033,9.379673064303992,0.2136435427078215,0.254689749474365
valid,True,Evaluated within envelope,methane,0.0005,17.0,290.15,47.54641228875249,320.69641228875247,27760.0,57315.19744799852,10687.6,68002.79744799853,2.0646684959653645,2.4496684959653647,9.667602593991816,0.21356571868691693,0.2533894491575166
valid,True,Evaluated within envelope,methane,0.0005,19.0,292.15,48.65501117813515,321.80501117813515,27760.0,59196.76096652236,10687.6,69884.36096652236,2.1324481616182407,2.517448161618241,9.986704360702628,0.21352871624090106,0.2520799726008033
valid,True,Evaluated within envelope,methane,0.0005,21.0,294.15,49.82317385800326,322.97317385800324,27760.0,61059.31018996027,10687.6,71746.91018996027,2.199542874278108,2.5845428742781076,10.306105070374427,0.21342135164144965,0.2507778502770698
valid,True,Evaluated within envelope,methane,0.0005,23.0,296.15,51.08946233782071,324.23946233782067,27760.0,62796.59527907801,10687.6,73484.195279078,2.262125190168516,2.647125190168516,10.610470444406833,0.2131974451105479,0.24948235839664515
